idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS5490RES1000mN1596000E728000,1000,649.5,335,103,150,9,170,58,12475767.7,23555,166,169,7,63.9,54.1,196,14,49,13,5,30,49.5,37,52,152,112,156,42,1
CRS5490RES1000mN1596000E729000,1000,174,93,22,39,2,47.9,16.1,3848251.9,5898,42,51,0,0,10,80,3,0,7,3,11.5,15.6,3,21,36.9,35,38,3,0
CRS5490RES1000mN1597000E728000,1000,133,88.9,25.1,57.9,0,60,6,2689641.7,5925,34,54.9,2,5,48,27.9,6,0,3,1,1,5,4,10,32.9,20,41,15.1,0
CRS5490RES1000mN1597000E729000,1000,50,29,8,11.9,0,20.1,3.9,1182579.1,2428.1,10,19,0.9,1.1,9.1,15.9,2,0,0,0.9,1.1,1.8,2,5,7.9,9.1,19,3.2,0
CRS5490RES1000mN1598000E730000,1000,218,91.1,29.9,34.9,10.1,56,16,4245190.1,7783.2,21.9,69.2,1,7,23,51.1,9,0,2.9,8.8,7.8,16,13.2,15,56.9,37.2,44.1,16.1,0
CRS5490RES1000mN1598000E731000,1000,60,26,8,6,0,22,7,1224356.9,2545,0,26,0,0,11,15,0,0,0,0,1,8.9,5.9,2,19,4,14.2,5,0
CRS5490RES1000mN1599000E730000,1000,60,31.1,12.9,12.1,1,13,6.1,1037015,2492.1,3,28.1,1.8,6.1,6.1,13.1,4,0,2,0,1,3.8,2.8,6.1,14.3,16.9,10,3.1,0
CRS5490RES1000mN1599000E731000,1000,207,88.1,21.8,27,7.8,58,9.8,5339389.6,8108,19.1,69,0,7.9,21.1,58.2,0.9,0,7.2,4.9,16.4,19.3,11.2,15,50.9,42,32.1,8,0
CRS5490RES1000mN1600000E707000,1000,162,89,43,44,2,51,11.1,2680651.5,6883,29,60,4,4.9,25.1,47,8,0,0,0,2.5,12.4,9.9,8,28,51,39.1,11.1,0
CRS5490RES1000mN1600000E719000,1000,216,99,41,34.9,5,66,27,3881311.9,7777.1,12,87,0,4,39,54,2,0,5.9,6.6,6.6,20,11.9,35,44.1,33.9,41.1,9.9,1
CRS5490RES1000mN1600000E720000,1000,407,234,22.1,117.1,5,93.9,47,11158096.9,16149,156,78,0,5.7,28,197.3,3,0,17.3,7.5,24.4,29.6,15.8,67,99.9,56.1,75.2,14.2,0
CRS5490RES1000mN1600000E721000,1000,52,24,10,9,0,14,3.1,968500,2024.9,3,21,0.9,0.9,3,16.1,3.1,0,4,0.9,2,2,3,5,13,15,2,5.1,0
CRS5490RES1000mN1600000E722000,1000,679.5,310,70,120,16.1,146.9,67.1,15759453.7,23285,141.9,168.1,0,4,73,220,13,88,21,23.9,46.9,71.5,49.1,84.1,152,130.1,86.9,14,0
CRS5490RES1000mN1600000E723000,1000,1308.5,625,156,256,33,213,138,27812282.6,48789,389,236,5,32,201,374,13,252,36.5,28.5,72,144,83.5,162,289,212,202,75,4
CRS5490RES1000mN1600000E724000,1000,321.5,159,54,72,4,79,28,6315574.5,13641,62,97,2,35.9,46.9,70.1,4.1,0,6.1,5,12.9,25.5,14,25,78,52,65,38,0
CRS5490RES1000mN1600000E725000,1000,200,91,25,38.9,7,53.8,14.1,3979073.8,8206,20,71,5.9,14.1,13,43.9,14.1,0,7,4,9.9,16.1,6.3,21.9,50,32.9,40.9,11,0
CRS5490RES1000mN1600000E726000,1000,246.5,92.9,28.1,25.8,11.7,70.2,16.9,4806373.2,7651.2,24,68.9,1,8.8,10.1,73,0,0,4,2.7,12.3,37.9,13.1,33,62.1,31.1,43.1,7.2,0
CRS5490RES1000mN1600000E727000,1000,324.5,143,57.8,56.8,10.9,110,25,5505510.7,12236,38.9,104.1,0.9,11.1,6,118.9,6.1,0,7.5,6,14.6,27.5,13,39,90.9,51.9,53,21.1,0
CRS5490RES1000mN1600000E728000,1000,71,35.8,16.1,17.1,2,23,5,1270848.1,2984,7.1,28.7,0,0.9,3,31.9,0,0,1,2,1.1,6,4,8,19.8,14.9,11.1,2,1.1
CRS5490RES1000mN1600000E729000,1000,286,162,58,86,5,59,33,5611210.1,12588,81,81,26.9,24.1,23,87,1,31,1,2,9,21,20,18,73,53,53,36,0
CRS5490RES1000mN1600000E730000,1000,629,291,93,125.2,16.9,81,68,12384108,21575,253.1,37.9,0,0,31.9,258.1,1,131,34,23,49.5,62.6,40,92.1,114,77.9,113,21.9,1
CRS5490RES1000mN1600000E731000,1000,191,93,26.1,39.1,8,65,14,4069646.3,8885.1,12.1,80.9,3,15,27.1,40.9,7,0,3.8,4,5.5,11.3,12.1,12,44,21.1,54.1,23.1,0
CRS5490RES1000mN1601000E707000,1000,126,67.1,24.1,29.9,0.7,46.9,5.1,2625432.1,5794,17,50.1,1.1,2.9,12.9,48.1,2.1,0,0,0,2.1,10.2,5.9,9.4,26.9,29.8,33.8,7.9,0
CRS5490RES1000mN1601000E712000,1000,535.5,265,85,125,14,115,44,11301209,19953,114,151,7,23,101,125,9,59,9,8.9,26.9,45.5,31,54.1,117,101.1,107,35,0
CRS5490RES1000mN1601000E713000,1000,242.5,125,20.9,50.1,2,63,22,6617441.5,9686,68.9,56.1,1,6,28.9,85.1,4,0,7.9,4,8.5,14.1,17.1,30,65,49.9,40,6,0
CRS5490RES1000mN1601000E714000,1000,280.5,127,38.1,40.1,7.1,46.1,37.9,6119539.7,9443.9,65,62,0,0,42,84,1,57,9,7.1,19.1,34.4,20.9,36.1,65.9,38.9,45.1,3,1
CRS5490RES1000mN1601000E715000,1000,84,30,5.1,3.8,5.1,19,2,2682703.3,3044,1,29,0,0,3.1,26.9,0,0,3.8,3.9,4,11.2,7.1,14.9,16.1,9.9,13.1,0,0
CRS5490RES1000mN1601000E716000,1000,87,37.1,18,14.9,3,31,4,1410823.3,3318,4.1,33,0,1,13.1,23,0,0,0,0.9,2,8,9,4.1,26,11.9,18,7.1,0
CRS5490RES1000mN1601000E719000,1000,371,164.9,25,53,8,110.9,17,9515334.7,14346,65,99.9,0,3,52.9,102.9,6.1,0,16.6,2,13.4,24.5,18.6,55,71,69,86,14,0.9
CRS5490RES1000mN1601000E720000,1000,29,12,1,5,0,7,3,803835.3,992,4,8,0,0,4,8,0,0,2,0,5,2,0,5,5,2,7,1,0
CRS5490RES1000mN1601000E721000,1000,52.5,25.1,3,8,1,19.1,1.9,1667560.1,2599.9,2.2,22.9,1,0,1,21.9,1.2,0,0,1,1.5,5,4,1.9,13.1,12,12,2,0
CRS5490RES1000mN1601000E722000,1000,317,146.9,31.9,57,7.2,105.1,27,7810719.9,13162.2,24,122.9,0,6,14,112.9,14,0,12.9,5.8,18.6,20.1,16.7,47,56.9,72,57.2,9,0.8
CRS5490RES1000mN1601000E723000,1000,184,78,18,24,4,50,11,4507732,6802.9,14,64,0,6,10,57,5,0,5,3,4.5,23.6,11,21.1,44,29,36,5.8,1
CRS5490RES1000mN1601000E724000,1000,147,73,19.9,36.8,6.1,43.1,10,3452698.8,6927,25.8,47.2,0,1.8,10,57.4,3.8,0,5,1,7.8,14.9,10.1,13.2,34.8,20.1,32.2,6.8,1.1
CRS5490RES1000mN1601000E725000,1000,600,241,71.2,67.2,20.9,46.9,93.1,11076238.4,19719,201.8,39.2,0,1,57,180,3,179,28.6,16.1,58.6,74.2,37.9,109,116.8,76.9,58.9,16,7
CRS5490RES1000mN1601000E726000,1000,190,71.1,25,18.9,9.2,50,9.1,3627140.6,6132,11.3,59.8,2.8,10.3,10.8,39.9,7.3,0,7.8,2.3,10.2,19.9,15.9,17.9,32,43.8,31.2,9,0
CRS5490RES1000mN1601000E727000,1000,86,42.9,18.8,21,2,33.1,4,1384274.9,3747,9.1,33.8,3.8,1,8.1,29,1,0,0,1,3,4.8,5,8.2,21.9,16.1,19.9,6.1,0
CRS5490RES1000mN1601000E728000,1000,1081.5,428.9,162,105,39,102,180,18936681.2,31926,325.9,103,0,5,31.9,391,1,302,43.9,42.5,88.5,176.9,93,166.5,209.1,146,91.1,24,0
CRS5490RES1000mN1601000E729000,1000,848.5,404,126.1,175.9,24,147,96,15734425.1,30819.9,197.9,206.1,8,84.9,90.1,215,6,118,23,13,47.1,93.1,50.9,89.5,183,123.1,154.9,70.9,0
CRS5490RES1000mN1601000E730000,1000,736.5,363.9,99,157,12,124.9,89.9,14198792.8,27088.1,228,135.9,3.8,34,29.1,275,22,109,16,16,42.7,79.4,34.5,110.1,135.1,133,113.9,54.8,1
CRS5490RES1000mN1601000E731000,1000,57,22.8,3.2,7.1,1.9,21,0,1564785.4,2763.1,3.2,19.6,0,0,4.8,18,0,0,0.9,1.1,1.9,4.1,4.9,5.7,11.3,10,15.2,1.9,0
CRS5490RES1000mN1602000E706000,1000,52,30,12.1,20.1,2,13.1,4,836108.6,2149.9,7.9,22.1,6.1,4,8.9,9,2,0,0,0,0,7,2,5,12,8.1,12.9,5,0
CRS5490RES1000mN1602000E707000,1000,622,293,88,121.1,19,181,39.9,13927195.8,24336,99.9,193.1,3.8,17,60.1,196,16.1,0,11.8,7,31.9,57.9,35,62.1,131.1,108,133.1,36.1,8
CRS5490RES1000mN1602000E710000,1000,236,98.1,27.2,31,7,67.9,10,4959040.6,8732,17.1,81,1,7,18,55.2,16.9,0,4.9,2.1,7.9,20.9,14,23.9,58.1,50.2,47.9,6.1,0
CRS5490RES1000mN1602000E711000,1000,208,77,7.9,17,5,56.9,9,6310158.1,7951,14,63,0,0,5,72,0,0,7,4,13,30,20.9,18,64,26,22,3.1,0
CRS5490RES1000mN1602000E712000,1000,415,180,51.9,59,7,66,50,9982078.4,13539.1,107.1,72.9,0,3,6.9,164.1,6,77,11.1,10.9,25.9,49.9,33,48.1,109,64.1,53,10,0
