idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS2975RES1000mN7634000E355000,1000,190,90,45,43,5,18,10,3158348,6119,48,42,0,4,13,73,0,18,3.5,7,6,15,17.5,22,39,49,23,8,0
CRS2975RES1000mN7634000E356000,1000,1995.5,845,459,322,84,289,181,29335577.4,59384,321,524,10,151,137,547,0,325,92.5,50.5,142,231.5,168,306,419,274,211,92,9
CRS2975RES1000mN7634000E360000,1000,470,160.1,65,31,26,112,18.1,8273963.7,13768,7,153.1,0,5,33.1,122,0,0,17,13.9,27,61,31,88,100,75,51.1,5,1
CRS2975RES1000mN7635000E353000,1000,133.5,57,15,20,4,37,8,3079971.1,4669,3,54,1,11,17,28,0,0,6,3,6.9,3.6,12,22,29,18,24,9,0
CRS2975RES1000mN7635000E354000,1000,950,376.1,93,89,31,219,72,22578006.3,34171.1,47,329.1,1,27.1,69,276,3,20,40.4,25.4,56.5,111.5,87,125,235,126.1,108,35.1,0
CRS2975RES1000mN7635000E355000,1000,1524.5,583.1,161,136,55.9,352.9,105.9,32350891.1,51091.9,92,491.1,0,56,149,375.2,2.9,0,90.9,38,87.4,148,116.9,257,326,231.2,173.1,54,2
CRS2975RES1000mN7635000E356000,1000,2886.5,1235.1,561.9,458,101,418,289,47348582.6,89629,687,548.1,11,155,213,853.1,3,315,149.5,93,209.5,285,203.5,486.9,542.9,399.1,358.1,139,20
CRS2975RES1000mN7635000E357000,1000,3073.5,1278.9,635.1,410,92,488,346,51256538.4,95385,533.9,745,7,103,386.9,776,6,384,148.5,83.1,255,371.4,233.4,552,573,387.1,353,115,2
CRS2975RES1000mN7635000E360000,1000,771.5,302,125.9,76,27.1,184.1,59,13398968.1,23415,24,278,4,32.9,78.2,186.9,0,0,26.6,22.6,50.6,73,59.9,135.9,156.9,101.9,108.1,36,0
CRS2975RES1000mN7635000E361000,1000,1225.5,490.9,219.2,148.9,39.8,244,81.9,20282154.7,37295.1,130.9,360,5,29.9,98,356,2,77,54.6,31,90.9,124.1,92,216.9,242.1,178,151.9,44,0
CRS2975RES1000mN7635000E362000,1000,576,210,110.1,49,27,141.9,44.9,9157741.3,16260,25.9,184.1,2.2,3,42.9,161.9,0,22,16.8,18.8,43.5,84.1,58.1,90,124.7,79.9,50.1,10,0
CRS2975RES1000mN7636000E347000,1000,57,21,11,5,2,7,8,844968.3,1327,0,21,0,2.9,3.1,15,0,13,2,2,7,10,5,11,9,3,7,1,0
CRS2975RES1000mN7636000E348000,1000,138,47.1,24,10.1,6,39.1,6,2296742.8,3513,0,47.1,0,3,7,37.1,0,0,7,3,4,13.9,9.1,24,26,23,24,4,0
CRS2975RES1000mN7636000E349000,1000,256,101,33,21,9,54,22,5061310.7,7881,17,84,0,7.9,20.1,73,0,0,9.5,5.1,21.4,16,18.6,57.4,41,47.9,30,9.1,0
CRS2975RES1000mN7636000E350000,1000,475.5,187.2,60.9,42.1,12.9,128.1,31.1,10450256.4,15225.1,24,163.2,2.1,14,30.9,139,1.2,0,20.1,8.5,29.6,40.1,42.4,86,111,67.9,58.9,10,1
CRS2975RES1000mN7636000E351000,1000,525,192,46.9,43.2,17,136,25.9,11925499,16709,22,170,4.1,12.9,32,142,1,0,20.2,16.1,36.5,53.9,35.7,94.8,122.7,74,56.1,15,0
CRS2975RES1000mN7636000E352000,1000,367.5,135.1,70.9,35.1,15.9,80,33,5648132.7,9902.1,32,103.1,1,4.9,5.2,124,0,28,16.1,7.1,24.9,48.5,28.9,66,83,43.1,42.9,7,0
CRS2975RES1000mN7636000E353000,1000,172.5,71.2,24.8,22,7,36.8,13,4052618.3,5621,10.3,60.9,0,13.3,20.8,37.1,0,0,6.9,2.5,5.9,22.3,17,27,32.8,31,18.1,9,0
CRS2975RES1000mN7636000E354000,1000,299,102.3,45,19,14.2,74.9,14,5131611.5,7974.9,2,100.3,0,8.1,17.9,76.3,0,0,14.8,7,17.7,35.5,30.9,46.2,74,46.1,25,1.8,0
CRS2975RES1000mN7636000E355000,1000,595.5,232,86,54,17.1,136,46.8,11709231.3,19995.1,29,203,2,5,37.1,187.9,0,0,27.1,13,41.6,71,57,116,133.9,82.1,38.8,15,0
CRS2975RES1000mN7636000E356000,1000,1302,501,236,140.8,60.1,340,72,21488232.5,39987.1,33.3,467.7,8.2,102.8,118.3,271.7,0,10,71.5,32.5,72.5,118.5,96.2,206,273.8,190,171,67,3
CRS2975RES1000mN7636000E357000,1000,1448.5,592,245,206,61.1,218,129.1,25206961.9,42446.9,211,381,3,48.1,88,452.9,0,131,73,46.5,122.5,185,115.6,255,291.8,180.1,130,38,11
CRS2975RES1000mN7636000E358000,1000,483.5,175.1,71.1,33.1,20.3,122.2,32,8627599,14676.9,12,163.1,0,2,43.9,129.2,0,0,16.4,13.1,43.4,49.5,41.1,87.9,101.1,72.2,43.8,15,0
CRS2975RES1000mN7636000E359000,1000,66,24,10.3,5.2,2,15.9,2,1106838,1720,1.8,22.2,0,0,1.8,22.2,0,0,3.5,2,4.5,6,4,18,11.1,12,2.8,2.1,0
CRS2975RES1000mN7636000E364000,1000,134.5,46.9,19,11.1,9,38,5,2423418.8,4162.1,0,46.9,1,6,9.9,30,0,0,4.9,2,10.1,19.4,12.9,18,36,15.9,7.2,8.1,0
CRS2975RES1000mN7636000E365000,1000,125.5,44,23,11,8,38,1,1879117.7,3864,0,44,0,1,12,31,0,0,8,2,8,13.5,10,14,32,16,21,1,0
CRS2975RES1000mN7636000E366000,1000,658.5,246,96.9,47.1,22,193.9,34.1,11760429.3,20834.1,6,240,3,23,74,146,0,0,25.9,15.1,34.5,49,38.9,104.9,150.1,100,110,29.1,1
CRS2975RES1000mN7636000E367000,1000,701.5,248.9,125.9,49,30,182.1,51.1,10630899.3,19517,5,243.9,0,8,61.9,178,1,0,28.4,17.5,44,88.4,61.9,122.1,148,109,60.2,12,10
CRS2975RES1000mN7637000E345000,1000,310.5,109,35,31,16,72,16,6143523,8982,5,104,4,12,30,63,0,0,16,6,21,37.5,22,39,84,41,34,10,0
CRS2975RES1000mN7637000E346000,1000,1226.5,437.1,185.9,104,54,241,78.9,22913647.3,34807,111,326.1,7,31.1,94.9,303.1,1,56,63,38.5,77.9,139.1,104,225,262,142.9,131.1,35,8
CRS2975RES1000mN7637000E347000,1000,1352,494,182.1,112,59.8,279.1,106,25337824.3,40429.9,109.9,384.1,7,59.3,86.9,338.8,2,68,68.3,34,98.2,125.9,119.4,268,280.3,170.9,144.9,42.1,0
CRS2975RES1000mN7637000E348000,1000,340.5,135.1,53.1,30.1,10.9,82.3,27.9,5831315.9,9992.9,28.2,106.9,1,10,22.1,101,1,0,9.5,8.6,27.8,33.8,24.9,58.9,74.9,49.1,29.1,23.9,0
CRS2975RES1000mN7637000E349000,1000,176.5,62.9,31,14,8,44.9,4,2933831.9,5146.1,4.1,58.8,0.9,3.1,11,46.1,1.8,0,8,7,5.6,15.1,15.1,45,43,23.9,10.9,2.9,0
CRS2975RES1000mN7637000E350000,1000,334,132,42.1,30,10,94.8,16,7236913.5,11320.1,11,121,2,18,22,90,0,0,8,5,18.5,22.6,20,49,74.9,62.1,58.9,15,0
CRS2975RES1000mN7637000E351000,1000,1324.5,532,181.1,130.9,36.1,298.1,82,26731719.1,44803.1,77,455,12,82,143.1,293.9,1,0,70,32,80,115,86.5,253.8,235.1,182.9,204.1,58.1,7
CRS2975RES1000mN7637000E352000,1000,228,86,39.9,28,11.8,55.9,15.8,4304322.1,6405.1,9,77,1,7.9,12.2,63.8,1.1,0,11.4,7.1,15.6,17.1,17.9,41.9,48.1,35,25.9,8,0
CRS2975RES1000mN7637000E353000,1000,156,55,24,14.9,6.9,45.1,5.9,3062378.1,4418,0,55,0,4.9,15.1,35,0,0,6.9,4.1,10.1,21.1,13.1,31.8,37.1,12.9,17.9,1,0
CRS2975RES1000mN7637000E354000,1000,899.5,334.1,137.8,76.1,37.9,203.2,59,16356384.7,28193,12.1,322,5.1,35,67,227,0,33,49.9,23.5,74,108.5,53.6,190.2,191,103.9,73.9,30,1
CRS2975RES1000mN7637000E355000,1000,363.5,144.9,51.9,42,10.1,102.9,16.9,6632984,11652.9,1,143.9,4,15,44.8,80.1,1,0,21.2,13.1,21,29.7,23.3,71,68,55.2,44.1,16.9,0
CRS2975RES1000mN7637000E356000,1000,151,59.1,24,15,6,42,12.1,2688397.4,4809,4.1,55,1.7,1.1,12.1,44.2,0,0,3.9,3.1,20.4,13.5,12.1,33.9,28.1,22,9,5,0
CRS2975RES1000mN7637000E357000,1000,229.5,80,34.9,14.9,8.2,50.1,12.9,3644779.3,7444.1,1,79,0,2.2,22.9,54.9,0,0,12.8,7,14.6,22.9,17.1,34.9,52.1,37,24.2,6.9,0
CRS2975RES1000mN7637000E358000,1000,244,81.1,29.9,12.9,9,52.9,14,4369011,7687,1,80.1,0,2.9,11,66.2,1,0,11,6,23,32.9,18,57.1,56,19.1,16.1,2.8,2
CRS2975RES1000mN7637000E359000,1000,41,15.1,10.1,3,1,5,3,610816.7,1153,2,13.1,0,1,4.1,10,0,0,3,3.1,6,4.1,1.1,6.7,6.9,6,4.1,0,0
CRS2975RES1000mN7637000E365000,1000,360,126.9,67.1,25,14,97.1,22,5499209.4,9137,1,125.9,1,10,29,86.9,0,0,13.9,8.1,26.1,29.9,39.1,68.9,82,47,32,13,0
CRS2975RES1000mN7637000E367000,1000,245,87.8,36.9,20.9,10,61.2,19.1,3905653.4,7256,7,80.8,0,4,10,73.8,0,0,15,3.2,24.5,25.5,26.9,40,61,32,13,3.9,0
CRS2975RES1000mN7638000E342000,1000,2092.5,804,315,225,96,457,169,40492926.8,56629,165.9,638.1,23.9,226,128.1,425,1,76,82,47,119,167,161.6,374,433,314.9,277,109,8
CRS2975RES1000mN7638000E343000,1000,1782,692,297,197.9,71.9,253,153,31221928.2,49293,318,374,1,87,82,518,4,268,83.5,44,104.5,191.5,148.5,354,394,230,197,35,0
CRS2975RES1000mN7638000E344000,1000,436,194.1,52,71.8,11.9,57.1,49.9,9667839.7,14761.9,128.1,66,0.8,10.2,15,167,1.1,0,28.1,12,28.5,47.6,33.9,112.1,85,42.9,33,11.9,1
CRS2975RES1000mN7638000E345000,1000,1558,563,183.1,136,69.1,322.9,100.1,31210380.5,44088.9,118.1,444.9,1,46,74.9,439.1,2,49,75.5,42.4,88.5,148.6,129.9,333,327.1,230,130,33,20
CRS2975RES1000mN7638000E346000,1000,38.5,14,4.9,2,2,9.1,1,813324.8,1431,0,14,0,1,3,9,1,0,0,1,0,3.5,3.9,7,11,9.1,3,0,0
CRS2975RES1000mN7638000E347000,1000,61.5,24.2,6.9,4.1,1,18.1,1.8,1327826.5,2216.8,0,24.2,0,4.2,3,17,0,0,0.9,1.8,2.1,6.5,1.2,11,13.9,12.1,6,6,0
CRS2975RES1000mN7638000E348000,1000,51.5,19.1,8,2,0,15,2,1115419.9,1452,0,19.1,0,3,5,11.1,0,0,1,2,3.5,3,4,10,11,8,8,1,0
CRS2975RES1000mN7638000E349000,1000,169,62.2,24.9,13,3.9,43.1,2.9,3400994.1,5151,7.2,55,2,5.2,9.1,44.9,1,0,7.1,4,10.1,20.9,4.9,35.9,38.1,20,25,3,0
CRS2975RES1000mN7638000E350000,1000,1267,509.1,225.1,131,39.1,256,110.1,23140060,40889,140,369.1,2,48.1,80,376,3,67,59.9,28.4,90.1,135,95.6,194,292,163,164,44,1
