idcar_nat,Canton,Code_INSEE,Departement
CRS3035RES1000mN2032000E4250000,Grand Sud,2A007,2A
CRS3035RES1000mN2032000E4251000,Grand Sud,2A007,2A
CRS3035RES1000mN2033000E4250000,Grand Sud,2A007,2A
CRS3035RES1000mN2033000E4251000,Grand Sud,2A007,2A
CRS3035RES1000mN2034000E4252000,Grand Sud,2A007,2A
CRS3035RES1000mN2034000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2035000E4252000,Grand Sud,2A007,2A
CRS3035RES1000mN2035000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2044000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2045000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2052000E4250000,Grand Sud,2A007,2A
CRS3035RES1000mN2052000E4251000,Grand Sud,2A007,2A
CRS3035RES1000mN2054000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2054000E4254000,Grand Sud,2A007,2A
CRS3035RES1000mN2054000E4255000,Grand Sud,2A007,2A
CRS3035RES1000mN2054000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2054000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2055000E4253000,Grand Sud,2A007,2A
CRS3035RES1000mN2055000E4254000,Grand Sud,2A007,2A
CRS3035RES1000mN2055000E4255000,Grand Sud,2A007,2A
CRS3035RES1000mN2055000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2055000E4261000,,,na
CRS3035RES1000mN2056000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2056000E4261000,,,na
CRS3035RES1000mN2057000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2057000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2058000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2058000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2059000E4260000,Bavella,2A006,2A
CRS3035RES1000mN2059000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2060000E4258000,Grand Sud,2A007,2A
CRS3035RES1000mN2060000E4259000,Bavella,2A006,2A
CRS3035RES1000mN2060000E4267000,Bavella,2A006,2A
CRS3035RES1000mN2061000E4266000,Bavella,2A006,2A
CRS3035RES1000mN2061000E4267000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4261000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4262000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4263000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4264000,Bavella,2A006,2A
CRS3035RES1000mN2062000E4265000,Bavella,2A006,2A
CRS3035RES1000mN2063000E4262000,Bavella,2A006,2A
CRS3035RES1000mN2063000E4263000,Bavella,2A006,2A
CRS3035RES1000mN2064000E4228000,,,na
CRS3035RES1000mN2064000E4229000,Sartenais-Valinco,2A009,2A
CRS3035RES1000mN2088000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2089000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2090000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2091000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2092000E4228000,Taravo-Ornano,2A011,2A
CRS3035RES1000mN2092000E4229000,Taravo-Ornano,2A011,2A
CRS3035RES1000mN2093000E4229000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2094000E4224000,Ajaccio-5,2A005,2A
CRS3035RES1000mN2094000E4225000,Ajaccio-5,2A005,2A
CRS3035RES1000mN2094000E4229000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2095000E4224000,Ajaccio-5,2A005,2A
CRS3035RES1000mN2095000E4225000,Ajaccio-5,2A005,2A
CRS3035RES1000mN2096000E4224000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2096000E4225000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2097000E4224000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2097000E4225000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2097000E4226000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2098000E4224000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2098000E4225000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2098000E4230000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2098000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2098000E4271000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2099000E4224000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2099000E4225000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2099000E4230000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2099000E4270000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2099000E4271000,Fiumorbo-Castello,2B012,2B
CRS3035RES1000mN2100000E4241000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2100000E4242000,Gravona-Prunelli,2A008,2A
CRS3035RES1000mN2120000E4219000,Sevi-Sorru-Cinarca,2A010,2A
CRS3035RES1000mN2128000E4222000,Sevi-Sorru-Cinarca,2A010,2A
CRS3035RES1000mN2128000E4277000,Ghisonaccia,2B013,2B
CRS3035RES1000mN2129000E4277000,Ghisonaccia,2B013,2B
CRS3035RES1000mN2129000E4279000,Castagniccia,2B010,2B
CRS3035RES1000mN2132000E4260000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2134000E4258000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2134000E4260000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2136000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2137000E4255000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2137000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2138000E4280000,Castagniccia,2B010,2B
CRS3035RES1000mN2138000E4281000,Castagniccia,2B010,2B
CRS3035RES1000mN2138000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2139000E4259000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2139000E4262000,Golo-Morosaglia,2B014,2B
CRS3035RES1000mN2139000E4280000,Castagniccia,2B010,2B
CRS3035RES1000mN2139000E4281000,Castagniccia,2B010,2B
CRS3035RES1000mN2139000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2140000E4280000,Castagniccia,2B010,2B
CRS3035RES1000mN2140000E4281000,Castagniccia,2B010,2B
CRS3035RES1000mN2140000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2141000E4280000,Castagniccia,2B010,2B
CRS3035RES1000mN2141000E4281000,Castagniccia,2B010,2B
CRS3035RES1000mN2142000E4267000,Castagniccia,2B010,2B
CRS3035RES1000mN2142000E4282000,,,na
CRS3035RES1000mN2143000E4267000,Castagniccia,2B010,2B
CRS3035RES1000mN2143000E4268000,Castagniccia,2B010,2B
CRS3035RES1000mN2143000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2144000E4282000,Castagniccia,2B010,2B
CRS3035RES1000mN2145000E4282000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2148000E4278000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2148000E4279000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2148000E4280000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2148000E4281000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2149000E4278000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2149000E4279000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2149000E4280000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2149000E4281000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2152000E4273000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2152000E4274000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2152000E4275000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2152000E4276000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2153000E4275000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2153000E4276000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2153000E4277000,Casinca-Fumalto,2B009,2B
CRS3035RES1000mN2160000E4231000,île-Rousse,2B015,2B
CRS3035RES1000mN2160000E4272000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4273000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4274000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4275000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4281000,Borgo,2B006,2B
CRS3035RES1000mN2160000E4282000,,,na
CRS3035RES1000mN2161000E4231000,île-Rousse,2B015,2B
CRS3035RES1000mN2161000E4273000,Borgo,2B006,2B
CRS3035RES1000mN2161000E4274000,Borgo,2B006,2B
CRS3035RES1000mN2161000E4275000,Borgo,2B006,2B
CRS3035RES1000mN2161000E4281000,Borgo,2B006,2B
CRS3035RES1000mN2161000E4282000,,,na
CRS3035RES1000mN2162000E4229000,Calvi,2B007,2B
CRS3035RES1000mN2162000E4281000,Borgo,2B006,2B
CRS3035RES1000mN2162000E4282000,,,na
CRS3035RES1000mN2163000E4228000,Calvi,2B007,2B
CRS3035RES1000mN2163000E4229000,Calvi,2B007,2B
CRS3035RES1000mN2164000E4224000,Calvi,2B007,2B
CRS3035RES1000mN2164000E4225000,Calvi,2B007,2B
CRS3035RES1000mN2164000E4273000,Borgo,2B006,2B
CRS3035RES1000mN2164000E4274000,Borgo,2B006,2B
CRS3035RES1000mN2164000E4275000,Borgo,2B006,2B
CRS3035RES1000mN2165000E4224000,Calvi,2B007,2B
