idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES1000mN2032000E4250000,1000,636,338.1,101.1,179,15,108,30,12630411.8,20979,323,15.1,246,10.9,51,20.1,10.1,12,29,12.1,32.6,36.5,26.1,113.9,130.9,91.9,111,52,0
CRS3035RES1000mN2032000E4251000,1000,394.5,153,30.9,43.2,17,46.1,20.2,7926187.1,14614,81.2,71.8,8,11,87.1,38.7,8.2,59,18.5,10,43.1,41.2,17.2,68.8,80.9,45.7,39.9,29.2,0
CRS3035RES1000mN2033000E4250000,1000,201.5,89.1,15,30.9,6.1,58.9,11.4,5187800.7,9014,15.1,74,4.2,0.7,28,51.3,4.9,0,6.9,4.7,8.8,15,10.1,24.1,52.8,32.2,30.9,15.1,0.9
CRS3035RES1000mN2033000E4251000,1000,152,67.8,5.3,21,1,48.9,6.2,4258506.8,6537.8,8.8,59,3.1,0,9.9,54,0.8,0,4,0,2.9,9.8,12.1,30.6,30.4,38.2,21.1,2.9,0
CRS3035RES1000mN2034000E4252000,1000,146,63.3,16.8,16.8,3.1,38.8,8.1,3552678.5,6237.9,3.2,60.1,0,0,23.2,35.1,5,0,2,5,11,12,8,24.8,29.2,22.1,23.8,8.1,0
CRS3035RES1000mN2034000E4253000,1000,50,23.9,2.1,7.1,1.1,12.9,3.9,1130725.3,2151.1,3.9,20,0,0,6.8,16.1,1,0,2,0,1.1,3.9,2.1,11.9,7.9,8.9,11.1,1.1,0
CRS3035RES1000mN2035000E4252000,1000,104.5,38.9,8,9,4.1,25,10.1,2230488.6,3927.1,3.1,35.8,0,0,10.8,25,3.1,0,6,0.9,4.8,14.6,6.1,14,25,12.1,17.9,3.1,0
CRS3035RES1000mN2035000E4253000,1000,55,23.9,3.2,9.1,3.2,17,4.2,1311382.5,2178.9,4.1,19.8,1.9,0,3.2,17.8,1,0,1.9,1,3.2,1.9,4.9,12.9,9.1,9.1,7.8,3.2,0
CRS3035RES1000mN2044000E4253000,1000,85.5,42.2,2.1,20.8,2.1,31.2,3.8,2136689.8,3610.9,7.1,35.1,10.9,2,15,14.3,0,0,4.3,0,3.5,4.4,0.7,8.9,14.8,17.1,20.8,11,0
CRS3035RES1000mN2045000E4253000,1000,66,26.9,5,11,2,11,6.1,1409600.7,2178.9,6.1,20.8,10.1,2.9,6.1,7,0.8,0,2.9,0.8,6.1,6.1,6.1,7,17,8.1,7,4.9,0
