idcar_nat,tmaille,ind,men,men_pauv,men_1ind,men_5ind,men_prop,men_fmp,ind_snv,men_surf,men_coll,men_mais,log_av45,log_45_70,log_70_90,log_ap90,log_inc,log_soc,ind_0_3,ind_4_5,ind_6_10,ind_11_17,ind_18_24,ind_25_39,ind_40_54,ind_55_64,ind_65_79,ind_80p,ind_inc
CRS3035RES200mN2203000E3738600,200,393,216,63,120,11,77,38,6811355.2,16584,215,1,0,101,13,102,0,60,17.5,9,25.5,36,28,68,69,32,73,35,0
CRS3035RES200mN2203200E3737600,200,524.5,223,107,88,23,69,38,7392458.8,15453,181,42,29,91,38,65,0,109,41.5,19,45.5,45,36.5,99,90,55,62,31,0
CRS3035RES200mN2203200E3737800,200,406,160,67,56,25,57,29,6024196.5,11342,134,26,26,85,4,45,0,44,24,16,33.5,41.5,31,65,64,53,58,13,7
CRS3035RES200mN2203400E3737200,200,756,248,158,62,58,8,56,9080154.2,17572,247,1,1,0,203,44,0,235,53.5,38,73.5,126,58,117,147,72,53,16,2
CRS3035RES200mN2203400E3737400,200,428.5,255,62,153,10,108,31,7941294.3,17809,228,27,14,37,107,97,0,43,16,4.5,19,33.5,26.5,56,54,68,104,47,0
CRS3035RES200mN2203600E3737200,200,590,353,86,208,12,123,54,11047268.2,21197,325,28,56,6,88,203,0,1,26,17.5,24.5,39.5,25.5,127,95,75,109,51,0
CRS3035RES200mN2203600E3738200,200,438.5,233,55,124,12,96,40,8835531.8,17202,190,43,0,151,8,74,0,12,18,9.5,29,34.5,29.5,91,90,43,64,21,9
CRS3035RES200mN2203800E3737000,200,711,407,105,225,14,148,73,13749609.2,27042,387,20,88,177,25,117,0,38,20,15,40,59,53,135,124,93,101,71,0
CRS3035RES200mN2207800E3741400,200,476,238,69,100,10,128,48,8542143,15884,55,183,137,31,19,51,0,19,12.5,11,31,40.5,43,98,98,60,50,32,0
CRS3035RES200mN2228200E3984600,200,492.5,233,38,92,13,92,44,10279129.6,15409,214,19,2,0,1,230,0,81,10.5,11.5,30,63.5,41,77,120,60,60,19,0
CRS3035RES200mN2229600E3981000,200,331.5,132,30,42,20,18,36,6195732.7,8906,86,46,1,3,6,122,0,91,19,9,32.5,28,50,57,78,26,31,1,0
CRS3035RES200mN2229800E3981000,200,527.5,235,29,84,23,33,48,11066468.3,15425,224,11,0,0,23,212,0,100,24.5,15.5,39.5,58.5,40.5,109,129,43,43,23,2
CRS3035RES200mN2229800E3981400,200,620,344,61,178,13,91,48,12846974.9,21659,321,23,35,82,65,162,0,131,15,7.5,26,41,31.5,93,114,72,135,85,0
CRS3035RES200mN2230400E3984800,200,342,171,34,77,14,78,29,6736252.4,10523,126,45,86,51,3,31,0,23,14,7.5,20,31.5,25,60,67,32,65,20,0
CRS3035RES200mN2230800E3984200,200,368.5,160,19,56,12,76,17,7651179.7,12231,142,18,23,57,6,74,0,43,11,10,22.5,37,33,54,76,39,50,35,1
CRS3035RES200mN2232200E3990200,200,841.5,446,69,231,17,232,63,17131986.1,28443,445,1,7,252,76,111,0,43,33,25.5,42,73.5,65.5,147,161,101,124,69,0
CRS3035RES200mN2232200E3990400,200,722,388,54,185,11,240,51,14991545.7,25154,385,3,4,253,20,111,0,0,34.5,11.5,29.5,57.5,44,134,129,91,122,69,0
CRS3035RES200mN2232400E3990400,200,780,356,92,138,26,131,79,13523387.6,22180,354,2,2,235,0,118,1,45,42.5,14,55,87,68,152.5,145,89,81,46,0
CRS3035RES200mN2232600E3990000,200,667.5,363,103,191,16,117,56,11825702.1,21918,355,8,140,156,37,30,0,0,30,17.5,38.5,42,68.5,147,133,84,79,26,2
CRS3035RES200mN2232600E3990200,200,754,400,50,206,12,204,51,15928570,25382,400,0,31,140,85,144,0,20,43,11,54.5,50.5,34,149,124,87,122,79,0
CRS3035RES200mN2232600E3990400,200,790.5,449,83,250,17,168,54,15506845.6,24179,424,25,151,105,48,145,0,0,32,18,41.5,52.5,79.5,181,126,104,114,42,0
CRS3035RES200mN2232600E3990600,200,479.5,266,39,140,11,76,34,9629952.9,15422,253,13,23,2,61,180,0,41,23.5,15.5,25.5,31,38,117,69,42,74,44,0
CRS3035RES200mN2232800E3990000,200,1022.5,528,157,277,26,172,85,18159888.4,29962,513,15,274,143,14,96,1,60,41.5,31,69.5,73.5,102,216,215,108,125,40,1
CRS3035RES200mN2232800E3990200,200,994.5,405,42,110,32,63,71,20014614.5,28866,405,0,0,299,0,106,0,289,111,45,80.5,68.5,58.5,307,140,69,85,30,0
CRS3035RES200mN2232800E3990400,200,595.5,330,93,181,16,68,45,10335178,17496,320,10,152,55,3,120,0,61,37,13.5,31.5,39.5,54,119,112,76,83,30,0
CRS3035RES200mN2232800E3990600,200,676.5,370,109,209,19,126,55,12046456.4,19730,342,28,226,32,39,73,0,6,39,21.5,45,52,58,125,132,89,79,36,0
CRS3035RES200mN2232800E3991000,200,1025,564,131,305,21,186,83,18361071.1,31417,555,9,90,98,156,220,0,65,50,26.5,61.5,56.5,77.5,233,174,118,148,80,0
CRS3035RES200mN2232800E3991600,200,481,207,34,73,19,107,25,9144999.1,13007,192,15,27,58,0,122,0,0,26.5,18,41.5,37,32,136,83,41,49,17,0
CRS3035RES200mN2233000E3990400,200,527,283,43,130,10,153,33,11525425.3,18275,268,15,63,18,114,87,1,11,15,8,25.5,37.5,43,99,111,55,79,53,1
CRS3035RES200mN2233000E3991200,200,593.5,310,69,156,16,93,48,10746716.4,18058,296,14,117,46,81,64,2,69,30.5,8.5,35.5,48,51,130,113,77,77,23,0
CRS3035RES200mN2233000E3991400,200,869,408,93,182,29,147,81,14876793.5,25124,401,7,25,200,4,179,0,97,51.5,27.5,72.5,73.5,78,192,141,103,81,48,1
CRS3035RES200mN2233200E3991400,200,349.5,156,39,56,11,61,25,7206206,11048,115,41,36,58,1,61,0,52,18.5,5.5,23,35.5,21,62,67,46,54,17,0
CRS3035RES200mN2234200E3987200,200,529,265,43,116,14,110,46,10518942.3,16269,250,15,34,72,31,128,0,68,27,20.5,36.5,33,25,142,73,66,59,47,0
CRS3035RES200mN2234200E3987400,200,751.5,452,220,275,13,83,64,11304191.6,20443,446,6,151,53,13,235,0,332,36,13,25.5,44,32,118,166,103,137,77,0
CRS3035RES200mN2234200E3987800,200,549,269,55,120,11,116,34,10888813.7,17093,242,27,100,10,6,153,0,70,27,18,38,38,42,116,108,69,71,22,0
CRS3035RES200mN2234400E3987400,200,390.5,182,25,70,10,83,34,7896168.9,12119,172,10,6,105,0,71,0,28,22,11,26,38.5,27,76,83,36,54,17,0
CRS3035RES200mN2235400E3986200,200,373,121,4,13,15,4,11,8911369.1,9491,64,57,0,5,29,87,0,87,25,18,38.5,42.5,29,97,80,24,17,0,2
CRS3035RES200mN2235800E3986000,200,444,151,7,23,22,31,21,10486042.8,12730,125,26,3,10,43,95,0,115,33,18.5,49,49.5,26,86,99,40,35,8,0
CRS3035RES200mN2242200E3963200,200,501.5,229,41,85,13,41,45,9989766.4,15933,223,6,3,0,148,78,0,145,16,11,33.5,38,43,67,109,74,84,24,2
CRS3035RES200mN2244800E4038800,200,356,172,45,82,13,86,21,6239995.7,9707,150,22,72,9,43,46,2,0,14.5,10.5,25,34,22,72,81,38,42,17,0
CRS3035RES200mN2249000E3945400,200,310,122,20,32,12,31,25,6702440.2,8805,113,9,5,35,0,82,0,73,16,9.5,21,42.5,20,54,62,47,22,16,0
CRS3035RES200mN2249000E3946000,200,514.5,203,30,60,26,37,37,10030548.4,14595,198,5,0,0,58,145,0,162,17,12.5,40.5,54.5,48,68,102,67,87,18,0
CRS3035RES200mN2249000E3946200,200,577,245,53,82,22,91,39,11622325.5,18447,239,6,3,0,97,144,1,143,22,12,41.5,48.5,36,54,107,67,143,45,1
CRS3035RES200mN2249000E3946600,200,616.5,309,65,144,15,124,50,13932943.4,19408,289,20,83,0,42,181,3,72,36,13,40.5,45.5,39.5,126,115,75,90,36,0
CRS3035RES200mN2249200E3945000,200,344,154,22,54,10,113,18,9415620.6,11244,117,37,35,48,24,46,1,0,13,11,26,23.5,21.5,63,66,46,56,18,0
CRS3035RES200mN2249200E3946000,200,339.5,164,20,71,15,102,19,8040966.6,11896,164,0,0,0,101,63,0,34,14,12,17.5,30,11,48,57,56,66,28,0
CRS3035RES200mN2249400E3946000,200,694,371,16,172,10,167,39,19861906.6,24466,370,1,3,0,0,368,0,0,35,12,26.5,28,34.5,115,144,101,140,58,0
CRS3035RES200mN2249600E3945400,200,282,128,14,51,11,28,19,7242968.8,9394,121,7,11,0,33,84,0,49,9,7,12,28,31,68,57,32,31,7,0
